Class,cg-na,cg-npm,Pattern Name,count
io.questdb.FactoryProviderFactory,0,1,Factory Method;State,2
io.questdb.std.LongList,55,506,Factory Method;(Object)Adapter,11
io.questdb.std.IOURingFacade,0,20,State;Factory Method;(Object)Adapter,3
io.questdb.std.IOURingFacadeImpl,4,16,Factory Method;Singleton,2
io.questdb.cutlass.auth.Authenticator,10,16,Factory Method;State,2
io.questdb.cutlass.http.HttpServer,4,14,Factory Method;(Object)Adapter,3
io.questdb.cutlass.http.HttpRequestProcessor,0,21,Factory Method,2
io.questdb.cutlass.http.HttpServerConfiguration,2,13,Factory Method;State,2
io.questdb.PropServerConfiguration,783,222,Factory Method;Decorator;State,4
io.questdb.cairo.sql.RecordCursor,0,307,Factory Method;Bridge;Decorator;State;Proxy,28
io.questdb.griffin.engine.table.DataFrameRecordCursor,0,52,Factory Method;Bridge;Decorator;State;(Object)Adapter,13
io.questdb.griffin.engine.table.FilteredRecordCursor,48,137,State;Factory Method;Decorator;(Object)Adapter,16
io.questdb.griffin.engine.table.StringLongTuplesRecordCursor,56,112,Factory Method;Decorator,14
io.questdb.cairo.TableReaderRecordCursor,160,171,Factory Method;Decorator;(Object)Adapter,16
io.questdb.griffin.engine.union.AbstractSetRecordCursor,12,4,Factory Method;Decorator,4
io.questdb.griffin.engine.LimitRecordCursorFactory,178,158,State;Factory Method;Decorator;(Object)Adapter,17
io.questdb.griffin.engine.table.TableListRecordCursorFactory,75,104,Factory Method;Decorator;(Object)Adapter,15
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,88,199,Factory Method;Decorator;Template Method;State;(Object)Adapter,18
io.questdb.griffin.engine.table.ReaderPoolRecordCursorFactory,126,112,Factory Method;Decorator,14
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,159,185,State;Factory Method;Decorator;(Object)Adapter,20
io.questdb.cairo.sql.DelegatingRecordCursor,0,2,Factory Method;State,2
io.questdb.griffin.engine.table.AsyncFilteredNegativeLimitRecordCursor,209,184,State;Factory Method;Decorator;(Object)Adapter,19
io.questdb.griffin.engine.groupby.DistinctTimeSeriesRecordCursorFactory,285,183,State;Factory Method;Decorator;(Object)Adapter,19
io.questdb.cairo.map.CompactMapCursor,64,111,Factory Method;Decorator;(Object)Adapter,16
io.questdb.griffin.engine.analytic.CachedAnalyticRecordCursorFactory,144,151,Factory Method;Decorator;State;(Object)Adapter;Proxy,18
io.questdb.griffin.engine.table.ShowColumnsRecordCursorFactory,45,103,Factory Method;Decorator;(Object)Adapter,15
io.questdb.griffin.engine.functions.catalogue.PgDatabaseFunctionFactory,34,110,Factory Method;Decorator,17
io.questdb.griffin.engine.ExplainPlanFactory,61,120,Factory Method;Decorator;State,16
io.questdb.griffin.engine.functions.catalogue.WalTableListFunctionFactory,89,124,Factory Method;Decorator;(Object)Adapter,19
io.questdb.griffin.engine.groupby.vect.GroupByRecordCursorFactory,315,221,Factory Method;Decorator;State;(Object)Adapter;Proxy,21
io.questdb.cairo.wal.WalDataCursor,48,157,Factory Method;Decorator;(Object)Adapter,16
io.questdb.griffin.engine.EmptyTableRandomRecordCursor,45,120,Factory Method;Decorator;Singleton,15
io.questdb.griffin.engine.groupby.DistinctSymbolRecordCursorFactory,91,157,Factory Method;Decorator;(Object)Adapter,15
io.questdb.griffin.engine.SingleValueRecordCursor,28,98,Factory Method;Decorator,14
io.questdb.griffin.engine.table.SelectedRecordCursor,56,121,Factory Method;Decorator,14
io.questdb.griffin.engine.table.AsyncFilteredRecordCursor,340,193,State;Factory Method;Decorator;(Object)Adapter,20
io.questdb.cairo.sql.NoRandomAccessRecordCursor,0,24,Factory Method;Decorator,12
io.questdb.griffin.engine.groupby.DistinctRecordCursorFactory,123,193,State;Factory Method;Decorator;(Object)Adapter,21
io.questdb.griffin.engine.functions.rnd.LongSequenceFunctionFactory,49,111,Factory Method;Decorator;(Object)Adapter,18
io.questdb.cairo.RecordChain,230,651,Factory Method;Decorator;State;(Object)Adapter;Proxy,19
io.questdb.griffin.engine.orderby.RecordTreeChain,70,132,Factory Method;Proxy;Decorator;State,16
io.questdb.cairo.map.FastMapCursor,144,109,Factory Method;Decorator;(Object)Adapter,16
io.questdb.cairo.TableReaderSelectedColumnRecordCursor,176,172,Factory Method;Decorator;(Object)Adapter,16
io.questdb.griffin.engine.AbstractVirtualFunctionRecordCursor,70,136,Factory Method;Decorator,14
io.questdb.griffin.engine.functions.catalogue.TableListFunctionFactory,95,120,Factory Method;Decorator;(Object)Adapter,18
io.questdb.cairo.sql.Record,6,92,State;Factory Method;(Object)Adapter,5
io.questdb.cairo.sql.SymbolTableSource,0,7,Factory Method;State,4
io.questdb.cairo.sql.PageFrameCursor,0,25,Factory Method;Decorator;State,5
io.questdb.cairo.sql.DataFrameCursor,0,70,State;Factory Method;Bridge;(Object)Adapter,7
io.questdb.cairo.TableReader,444,526,State;Factory Method;(Object)Adapter,12
io.questdb.cairo.sql.SymbolTable,6,6,Factory Method;Decorator,3
io.questdb.cairo.EmptySymbolMapReader,4,40,Factory Method;Decorator;Singleton,4
io.questdb.cairo.SymbolMapReaderImpl,147,124,State;Factory Method;Decorator;(Object)Adapter,10
io.questdb.cairo.TableWriter,3525,2360,State;Factory Method;(Object)Adapter,26
io.questdb.griffin.model.RuntimeIntrinsicIntervalModel,0,3,Factory Method;Bridge,2
io.questdb.griffin.model.RuntimeIntervalModel,16,13,State;Factory Method;(Object)Adapter,4
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,30,6,Factory Method;Template Method;Bridge;(Object)Adapter,6
io.questdb.griffin.engine.table.LatestByValueDeferredIndexedFilteredRecordCursorFactory,0,4,Factory Method;Template Method,2
