Class,TotalBrokenRules,Minor,Major,Critical,Pattern,cg-na,cg-npm
core:src/main/java/io/questdb/ServerMain.java,1,0.0,0.0,1.0,State,8,10
core:src/main/java/io/questdb/cairo/DebugUtils.java,1,0.0,1.0,0.0,State,1,1
core:src/main/java/io/questdb/cairo/TableUtils.java,6,0.0,2.0,4.0,State,82,77
core:src/main/java/io/questdb/cairo/TxReader.java,1,0.0,1.0,0.0,State,39,55
core:src/main/java/io/questdb/cairo/frm/file/ContiguousFileColumnPool.java,2,0.0,0.0,1.0,(Object)Adapter,1,3
core:src/main/java/io/questdb/cairo/security/AllowAllSecurityContext.java,1,0.0,1.0,0.0,Singleton,1,0
core:src/main/java/io/questdb/cairo/security/ReadOnlySecurityContext.java,1,0.0,0.0,1.0,Singleton,1,33
core:src/main/java/io/questdb/cairo/vm/MemoryCMARWImpl.java,1,0.0,0.0,1.0,State,7,20
core:src/main/java/io/questdb/cutlass/auth/AnonymousAuthenticator.java,1,0.0,0.0,1.0,Singleton,1,6
core:src/main/java/io/questdb/cutlass/http/DefaultHttpServerConfiguration.java,1,0.0,1.0,0.0,Factory Method,5,11
core:src/main/java/io/questdb/cutlass/line/tcp/StaticPublicKeyRepo.java,2,1.0,0.0,1.0,(Object)Adapter,2,0
core:src/main/java/io/questdb/cutlass/text/CopyRequestTask.java,1,0.0,1.0,0.0,(Object)Adapter,10,12
core:src/main/java/io/questdb/griffin/SqlUtil.java,1,0.0,0.0,1.0,State,6,40
core:src/main/java/io/questdb/griffin/engine/ops/CopyFactory.java,1,0.0,1.0,0.0,State,14,2
core:src/main/java/io/questdb/std/WeakObjectPoolBase.java,1,0.0,1.0,0.0,Template Method,3,2
core:src/test/java/io/questdb/test/AbstractGriffinTest.java,22,1.0,15.0,5.0,Bridge,0,0
core:src/test/java/io/questdb/test/AbstractTest.java,1,1.0,0.0,0.0,State,0,0
core:src/test/java/io/questdb/test/TestListener.java,3,1.0,2.0,0.0,State,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AbstractLineTcpReceiverFuzzTest.java,9,1.0,4.0,4.0,Template Method,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/AbstractLineTcpReceiverTest.java,10,5.0,5.0,0.0,State,0,0
core:src/test/java/io/questdb/test/cutlass/pgwire/PGQuerySuspendabilityTest.java,1,0.0,0.0,1.0,(Object)Adapter,0,0
core:src/test/java/io/questdb/test/cutlass/text/SqlExecutionContextStub.java,11,0.0,0.0,11.0,(Object)Adapter,0,0
core:src/test/java/io/questdb/test/fuzz/FuzzInsertOperation.java,6,2.0,3.0,1.0,(Object)Adapter,0,0
core:src/test/java/io/questdb/test/griffin/AbstractO3Test.java,11,0.0,3.0,8.0,State,0,0
core:src/test/java/io/questdb/test/griffin/CompiledFilterRegressionTest.java,25,1.0,1.0,23.0,Decorator,0,0
