Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
650,State,24,23,2,39,56,1,0,1,0
651,State,3,15,1,5,2,0,0,0,0
652,State,4,15,2,5,2,0,0,0,0
653,State,1,28,2,17,47,28,0,10,18
654,State,413,17,1,29,75,0,0,0,0
655,State,2,29,2,16,5,13,0,9,4
656,State,3,14,2,15,3,0,0,0,0
657,State,756,30,2,5,58,0,0,0,0
658,State,756,20,2,2,54,0,0,0,0
659,State,755,22,2,3,57,0,0,0,0
660,State,755,21,2,3,84,0,0,0,0
661,State,756,22,2,2,54,0,0,0,0
662,State,756,20,2,2,54,0,0,0,0
663,State,756,21,2,3,53,0,0,0,0
664,State,756,21,2,3,55,0,0,0,0
665,State,756,22,2,2,53,0,0,0,0
666,State,756,22,2,2,53,0,0,0,0
667,State,756,27,2,7,57,0,0,0,0
668,State,756,23,2,2,53,0,0,0,0
669,State,756,23,2,3,54,0,0,0,0
670,State,756,23,2,2,53,0,0,0,0
671,State,756,23,2,2,53,0,0,0,0
672,State,756,20,2,1,53,0,0,0,0
673,State,756,20,2,2,54,0,0,0,0
674,State,756,19,2,1,52,0,0,0,0
675,State,756,19,2,1,52,0,0,0,0
676,State,756,19,2,1,52,0,0,0,0
677,State,756,19,2,1,52,0,0,0,0
678,State,756,19,2,1,52,0,0,0,0
679,State,756,19,2,1,52,0,0,0,0
680,State,756,22,2,1,57,0,0,0,0
681,State,756,19,2,1,52,0,0,0,0
682,State,756,19,2,1,52,0,0,0,0
683,State,756,19,2,1,52,0,0,0,0
684,State,756,19,2,1,52,0,0,0,0
685,State,756,19,2,1,52,0,0,0,0
686,State,756,19,2,1,52,0,0,0,0
687,State,756,20,2,1,52,0,0,0,0
688,State,756,19,2,1,52,0,0,0,0
689,State,756,19,2,1,52,0,0,0,0
690,State,756,19,2,1,52,0,0,0,0
691,State,756,20,2,1,52,0,0,0,0
692,State,756,20,2,1,52,0,0,0,0
693,State,756,19,2,1,52,0,0,0,0
694,State,756,19,2,1,52,0,0,0,0
695,State,756,20,2,1,52,0,0,0,0
696,State,756,32,2,5,59,0,0,0,0
697,State,756,19,2,1,52,0,0,0,0
698,State,756,19,2,1,52,0,0,0,0
699,State,756,20,2,1,52,0,0,0,0
700,State,756,19,2,1,52,0,0,0,0
701,State,756,19,2,1,52,0,0,0,0
702,State,756,31,2,6,59,0,0,0,0
703,State,756,19,2,1,52,0,0,0,0
704,State,756,19,2,1,52,0,0,0,0
705,State,756,20,2,1,52,0,0,0,0
706,State,756,19,2,1,52,0,0,0,0
707,State,756,19,2,1,52,0,0,0,0
708,State,756,20,2,2,52,0,0,0,0
709,State,756,20,2,2,52,0,0,0,0
710,State,756,20,2,2,52,0,0,0,0
711,State,756,20,2,2,52,0,0,0,0
712,State,756,20,2,2,52,0,0,0,0
713,State,756,20,2,2,52,0,0,0,0
714,State,756,20,2,2,52,0,0,0,0
715,State,756,20,2,2,52,0,0,0,0
716,State,756,20,2,2,52,0,0,0,0
717,State,756,20,2,2,52,0,0,0,0
718,State,756,20,2,1,52,0,0,0,0
719,State,756,20,2,1,52,0,0,0,0
720,State,756,20,2,1,52,0,0,0,0
721,State,756,20,2,1,52,0,0,0,0
722,State,756,20,2,1,52,0,0,0,0
723,State,756,20,2,1,52,0,0,0,0
724,State,756,20,2,3,54,0,0,0,0
725,State,756,20,2,1,52,0,0,0,0
726,State,756,20,2,1,52,0,0,0,0
727,State,756,19,2,1,52,0,0,0,0
728,State,756,19,2,1,52,0,0,0,0
729,State,756,19,2,1,52,0,0,0,0
730,State,756,22,2,1,53,0,0,0,0
