Class,RuleId,RuleName,Severity,Line
"jhotdraw-app:src/main/java/org/jhotdraw/app/AbstractApplication.java",S3740,"Raw types should not be used",MAJOR,128
"jhotdraw-app:src/main/java/org/jhotdraw/app/AbstractApplication.java",S3740,"Raw types should not be used",MAJOR,149
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/AbstractSaveUnsavedChangesAction.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,61
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/AbstractSaveUnsavedChangesAction.java",S3740,"Raw types should not be used",MAJOR,153
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,64
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S1192,"String literals should not be duplicated",CRITICAL,98
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S1192,"String literals should not be duplicated",CRITICAL,102
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S1192,"String literals should not be duplicated",CRITICAL,103
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S1192,"String literals should not be duplicated",CRITICAL,104
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S3740,"Raw types should not be used",MAJOR,282
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/ExitAction.java",S3740,"Raw types should not be used",MAJOR,316
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/OpenApplicationFileAction.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,115
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/OpenApplicationFileAction.java",S3740,"Raw types should not be used",MAJOR,131
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/app/PrintApplicationFileAction.java",S3740,"Raw types should not be used",MAJOR,68
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/ClearFileAction.java",S3740,"Raw types should not be used",MAJOR,52
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/ExportFileAction.java",S3740,"Raw types should not be used",MAJOR,183
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/LoadFileAction.java",S3740,"Raw types should not be used",MAJOR,127
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/LoadRecentFileAction.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,79
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/LoadRecentFileAction.java",S3740,"Raw types should not be used",MAJOR,121
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/OpenFileAction.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,146
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/OpenFileAction.java",S3740,"Raw types should not be used",MAJOR,162
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/OpenRecentFileAction.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,103
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/OpenRecentFileAction.java",S3740,"Raw types should not be used",MAJOR,118
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/PrintFileAction.java",S3740,"Raw types should not be used",MAJOR,176
"jhotdraw-app:src/main/java/org/jhotdraw/app/action/file/SaveFileAction.java",S3740,"Raw types should not be used",MAJOR,139
"jhotdraw-app:src/main/java/org/jhotdraw/app/MDIApplication.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,275
"jhotdraw-app:src/main/java/org/jhotdraw/app/AbstractApplication.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,561
"jhotdraw-app:src/main/java/org/jhotdraw/app/AbstractView.java",S1948,"Fields in a "Serializable" class should either be transient or serializable",CRITICAL,35
"jhotdraw-app:src/main/java/org/jhotdraw/app/DefaultMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,239
"jhotdraw-app:src/main/java/org/jhotdraw/app/DefaultMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,330
"jhotdraw-app:src/main/java/org/jhotdraw/app/DefaultMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,337
"jhotdraw-app:src/main/java/org/jhotdraw/app/DefaultMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,344
"jhotdraw-app:src/main/java/org/jhotdraw/app/DefaultMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,351
"jhotdraw-app:src/main/java/org/jhotdraw/app/DefaultMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,358
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,27
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,31
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,35
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,39
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,43
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,47
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,51
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,55
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,59
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,63
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,67
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,71
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,75
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,79
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,83
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,87
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,91
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,95
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,99
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,103
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,107
"jhotdraw-app:src/main/java/org/jhotdraw/app/EmptyMenuBuilder.java",S1186,"Methods should not be empty",CRITICAL,111
"jhotdraw-app:src/main/java/org/jhotdraw/app/MDIApplication.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,415
"jhotdraw-app:src/main/java/org/jhotdraw/app/OSXApplication.java",S3776,"Cognitive Complexity of methods should not be too high",CRITICAL,355
