Class,Patterns,cg-na,cg-npm
org.jhotdraw.api.app.ApplicationModel,"Bridge, Factory Method, (Object)Adapter",0,51
org.jhotdraw.api.gui.URIChooser,"Bridge, Factory Method, (Object)Adapter",50,85
org.jhotdraw.samples.svg.io.SVGFigureFactory,"Factory Method, State",0,14
org.jhotdraw.samples.svg.io.DefaultSVGFigureFactory,Factory Method,0,13
org.jhotdraw.draw.figure.Figure,"Bridge, State, Decorator, Factory Method, Composite, Prototype, (Object)Adapter",132,1351
org.jhotdraw.draw.figure.CompositeFigure,"Prototype, Factory Method, State",5,100
org.jhotdraw.samples.svg.Gradient,Factory Method,0,10
org.jhotdraw.samples.odg.figures.ODGFigure,Factory Method,0,1
org.jhotdraw.samples.svg.figures.SVGFigure,Factory Method,0,1
org.jhotdraw.draw.connector.Connector,"Prototype, Factory Method, State, (Object)Adapter",0,70
org.jhotdraw.draw.figure.TextHolderFigure,"Prototype, Factory Method, State, (Object)Adapter",0,139
org.jhotdraw.samples.svg.figures.SVGTextAreaFigure,"Prototype, Decorator, Factory Method, Composite",70,280
org.jhotdraw.samples.svg.figures.SVGTextFigure,"Prototype, Decorator, Factory Method, Composite",70,320
org.jhotdraw.geom.Insets2D,"Template Method, Factory Method",6,10
org.jhotdraw.draw.GraphicalCompositeFigure,Prototype,0,0
org.jhotdraw.samples.odg.figures.ODGPathFigure,"Prototype, Decorator, Template Method, Composite",18,189
org.jhotdraw.samples.odg.figures.ODGGroupFigure,"Prototype, Decorator, Composite",16,48
org.jhotdraw.samples.odg.figures.ODGRectFigure,"Prototype, Decorator, Composite",32,176
org.jhotdraw.samples.odg.figures.ODGEllipseFigure,"Prototype, Decorator, Composite",24,136
org.jhotdraw.samples.odg.figures.ODGAttributedFigure,"Prototype, Decorator, Template Method, Composite",9,27
org.jhotdraw.samples.svg.figures.SVGEllipseFigure,"Prototype, Decorator, Composite",32,120
org.jhotdraw.samples.svg.figures.SVGGroupFigure,"Prototype, Decorator, Composite",16,48
org.jhotdraw.samples.svg.figures.SVGRectFigure,"Prototype, Decorator, Composite",56,160
org.jhotdraw.samples.svg.figures.SVGImageFigure,"Prototype, Decorator, Composite",54,216
org.jhotdraw.samples.svg.figures.SVGPathFigure,"Prototype, Decorator, Template Method, Composite",27,162
org.jhotdraw.draw.figure.AbstractAttributedDecoratedFigure,"Prototype, Decorator, Template Method",6,14
org.jhotdraw.draw.tool.CreationTool,"Prototype, State",16,15
org.jhotdraw.samples.svg.SVGCreateFromFileTool,Prototype,6,2
org.jhotdraw.draw.tool.ConnectionTool,"Prototype, State",44,35
org.jhotdraw.draw.figure.ConnectionFigure,"Prototype, State",0,84
org.jhotdraw.draw.figure.LineConnectionFigure,"Prototype, State, (Object)Adapter",36,152
org.jhotdraw.draw.handle.ConnectorHandle,"Prototype, State",24,32
org.jhotdraw.draw.action.GroupAction,Prototype,4,2
org.jhotdraw.samples.svg.action.CombineAction,"Prototype, State",10,8
org.jhotdraw.draw.io.SerializationInputOutputFormat,"Prototype, State, (Object)Adapter",0,0
org.jhotdraw.draw.Drawing,"Prototype, Bridge, State, (Object)Adapter",0,400
org.jhotdraw.draw.liner.Liner,"Prototype, State, (Object)Adapter",0,9
org.jhotdraw.draw.io.ImageInputFormat,"Prototype, State, (Object)Adapter",0,0
org.jhotdraw.draw.figure.ImageHolderFigure,"Prototype, State, (Object)Adapter",0,18
org.jhotdraw.draw.io.TextInputFormat,"Prototype, State, (Object)Adapter",0,0
org.jhotdraw.gui.ActivityManager,Singleton,3,6
org.jhotdraw.gui.plaf.palette.PaletteLookAndFeel,Singleton,3,19
