Class,Patterns,cg-na,cg-npm
io.questdb.FactoryProviderFactory,"Factory Method, State",0,1
io.questdb.FactoryProviderFactoryImpl,Factory Method,1,1
io.questdb.FactoryProvider,Factory Method,0,5
io.questdb.std.LongVec,Factory Method,0,4
io.questdb.std.LongList,"(Object)Adapter, Factory Method",55,506
io.questdb.std.IOURingFacade,"(Object)Adapter, Factory Method, State",0,20
io.questdb.std.IOURingFacadeImpl,"Factory Method, Singleton",4,16
io.questdb.std.IOURing,Factory Method,0,8
io.questdb.cutlass.auth.AuthenticatorFactory,Factory Method,0,0
io.questdb.cutlass.auth.DefaultAuthenticatorFactory,Factory Method,1,1
io.questdb.cutlass.auth.EllipticCurveAuthenticatorFactory,Factory Method,2,1
io.questdb.cutlass.auth.Authenticator,"Factory Method, State",10,16
io.questdb.cutlass.http.HttpRequestProcessorFactory,Factory Method,0,1
io.questdb.cutlass.http.HttpServer,"(Object)Adapter, Factory Method",4,14
io.questdb.cutlass.Services,Factory Method,0,4
io.questdb.cutlass.http.HttpRequestProcessor,Factory Method,0,21
io.questdb.cutlass.http.HttpRequestProcessorSelector,Factory Method,0,1
io.questdb.cutlass.http.HttpServerConfiguration,"Factory Method, State",2,13
io.questdb.cutlass.http.DefaultHttpServerConfiguration,Factory Method,5,11
io.questdb.PropServerConfiguration,"State, Factory Method, Decorator",783,222
io.questdb.cutlass.http.WaitProcessorConfiguration,Factory Method,0,5
io.questdb.cairo.sql.RecordCursor,"Factory Method, State, Decorator, Proxy, Bridge",0,307
io.questdb.griffin.engine.table.DataFrameRecordCursor,"(Object)Adapter, Factory Method, State, Decorator, Bridge",0,52
io.questdb.griffin.engine.table.FilteredRecordCursor,"State, (Object)Adapter, Factory Method, Decorator",48,137
io.questdb.griffin.engine.table.StringLongTuplesRecordCursor,"Factory Method, Decorator",56,112
io.questdb.cairo.TableReaderRecordCursor,"(Object)Adapter, Factory Method, Decorator",160,171
io.questdb.griffin.engine.union.AbstractSetRecordCursor,"Factory Method, Decorator",12,4
io.questdb.griffin.engine.LimitRecordCursorFactory,"State, (Object)Adapter, Factory Method, Decorator",178,158
io.questdb.griffin.engine.table.TableListRecordCursorFactory,"(Object)Adapter, Factory Method, Decorator",75,104
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,"(Object)Adapter, Factory Method, State, Decorator, Template Method",88,199
io.questdb.griffin.engine.table.ReaderPoolRecordCursorFactory,"Factory Method, Decorator",126,112
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,"State, (Object)Adapter, Factory Method, Decorator",159,185
io.questdb.cairo.sql.DelegatingRecordCursor,"Factory Method, State",0,2
io.questdb.griffin.engine.table.AsyncFilteredNegativeLimitRecordCursor,"State, (Object)Adapter, Factory Method, Decorator",209,184
