Class,TotalBrokenRules,Minor,Major,Critical,Patterns,cg-na,cg-npm
benchmarks:src/main/java/org/questdb/ArrayFillBenchmark.java,1,0.0,0.0,1.0,,0,0
benchmarks:src/main/java/org/questdb/CoalesceBenchmark.java,3,0.0,3.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/CountIntBenchmark.java,4,2.0,0.0,2.0,,0,0
benchmarks:src/main/java/org/questdb/CountLongBenchmark.java,4,2.0,0.0,2.0,,0,0
benchmarks:src/main/java/org/questdb/CsvLexerBenchmark.java,2,1.0,1.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/CutlassLexerTest.java,5,1.0,0.0,4.0,,0,0
benchmarks:src/main/java/org/questdb/DoubleBenchmark.java,1,0.0,0.0,1.0,,0,0
benchmarks:src/main/java/org/questdb/FastMapReadRandomKeyBenchmark.java,2,0.0,1.0,1.0,,0,0
benchmarks:src/main/java/org/questdb/FastMapReadSequentialKeyBenchmark.java,2,0.0,1.0,1.0,,0,0
benchmarks:src/main/java/org/questdb/FastMapWriteBenchmark.java,2,0.0,1.0,1.0,,0,0
benchmarks:src/main/java/org/questdb/FastMapWriteLongBenchmark.java,2,0.0,1.0,1.0,,0,0
benchmarks:src/main/java/org/questdb/GeoHashesAppendCharBenchmark.java,1,1.0,0.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/GeoHashesSwitchOnIntVsCharBenchmark.java,1,1.0,0.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/LineTCPSenderMain.java,4,3.0,1.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/LineTCPSenderMainDupCols.java,1,0.0,1.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/LineTCPSenderMainDupTimestamp.java,1,0.0,1.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/LineTCPSenderMainFileLimitSimulation.java,4,0.0,4.0,0.0,,0,0
benchmarks:src/main/java/org/questdb/LineTCPSenderMainVarLenStrings.java,1,0.0,1.0,0.0,,0,0
