Class,Patterns,cg-na,cg-npm
io.questdb.FactoryProviderFactory,Factory Method,0,1
io.questdb.FactoryProviderFactory,State,0,1
io.questdb.FactoryProviderFactoryImpl,Factory Method,1,1
io.questdb.FactoryProvider,Factory Method,0,5
io.questdb.std.LongVec,Factory Method,0,4
io.questdb.std.LongList,(Object)Adapter,55,506
io.questdb.std.LongList,Factory Method,55,506
io.questdb.std.IOURingFacade,(Object)Adapter,0,20
io.questdb.std.IOURingFacade,Factory Method,0,20
io.questdb.std.IOURingFacade,State,0,20
io.questdb.std.IOURingFacadeImpl,Factory Method,4,16
io.questdb.std.IOURingFacadeImpl,Singleton,4,16
io.questdb.std.IOURing,Factory Method,0,8
io.questdb.cutlass.auth.AuthenticatorFactory,Factory Method,0,0
io.questdb.cutlass.auth.DefaultAuthenticatorFactory,Factory Method,1,1
io.questdb.cutlass.auth.EllipticCurveAuthenticatorFactory,Factory Method,2,1
io.questdb.cutlass.auth.Authenticator,Factory Method,10,16
io.questdb.cutlass.auth.Authenticator,State,10,16
io.questdb.cutlass.http.HttpRequestProcessorFactory,Factory Method,0,1
io.questdb.cutlass.http.HttpServer,(Object)Adapter,4,14
io.questdb.cutlass.http.HttpServer,Factory Method,4,14
io.questdb.cutlass.Services,Factory Method,0,4
io.questdb.cutlass.http.HttpRequestProcessor,Factory Method,0,21
io.questdb.cutlass.http.HttpRequestProcessorSelector,Factory Method,0,1
io.questdb.cutlass.http.HttpServerConfiguration,Factory Method,2,13
io.questdb.cutlass.http.HttpServerConfiguration,State,2,13
io.questdb.cutlass.http.DefaultHttpServerConfiguration,Factory Method,5,11
io.questdb.PropServerConfiguration,State,783,222
io.questdb.PropServerConfiguration,Factory Method,783,222
io.questdb.PropServerConfiguration,Decorator,783,222
io.questdb.cutlass.http.WaitProcessorConfiguration,Factory Method,0,5
io.questdb.cairo.sql.RecordCursor,Factory Method,0,307
io.questdb.cairo.sql.RecordCursor,State,0,307
io.questdb.cairo.sql.RecordCursor,Decorator,0,307
io.questdb.cairo.sql.RecordCursor,Proxy,0,307
io.questdb.cairo.sql.RecordCursor,Bridge,0,307
io.questdb.griffin.engine.table.DataFrameRecordCursor,(Object)Adapter,0,52
io.questdb.griffin.engine.table.DataFrameRecordCursor,Factory Method,0,52
io.questdb.griffin.engine.table.DataFrameRecordCursor,State,0,52
io.questdb.griffin.engine.table.DataFrameRecordCursor,Decorator,0,52
