Class,Patterns,cg-na,cg-npm
io.questdb.griffin.engine.functions.date.MonthOfYearFunctionFactory,Factory Method,1,8
io.questdb.cairo.sql.AnalyticSPI,Factory Method,0,1
io.questdb.griffin.engine.functions.str.RPadStrFunctionFactory,Factory Method,9,10
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,Factory Method,10,24
io.questdb.griffin.engine.functions.cast.CastDoubleToTimestampFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.catalogue.DumpThreadStacksFunctionFactory,Factory Method,8,11
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,Factory Method,4,18
io.questdb.griffin.engine.functions.cast.CastLongToStrFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.groupby.MinTimestampGroupByFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.cast.CastBooleanToShortFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastStrToRegProcedureFunctionFactory,Factory Method,3,6
io.questdb.griffin.engine.functions.date.YearFunctionFactory,Factory Method,1,8
io.questdb.griffin.engine.functions.catalogue.PrefixedAgeFunctionFactory,Factory Method,3,6
io.questdb.griffin.engine.functions.cast.CastBooleanToStrFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.math.AddLongFunctionFactory,Factory Method,2,9
io.questdb.cairo.sql.RecordCursor,Factory Method,0,307
io.questdb.griffin.engine.functions.eq.EqShortFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.catalogue.FormatTypeFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.rnd.RndShortCCFunctionFactory,Factory Method,3,9
io.questdb.griffin.engine.functions.date.DayOfMonthFunctionFactory,Factory Method,1,8
io.questdb.griffin.engine.functions.cast.CastCharToTimestampFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,Factory Method,159,185
io.questdb.griffin.engine.functions.cast.CastLongToByteFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastLongToFloatFunctionFactory,State,1,7
io.questdb.cutlass.line.tcp.LineTcpMeasurementEvent,State,22,16
io.questdb.griffin.SqlCodeGenerator,State,134,62
io.questdb.std.WeakSelfReturningObjectPool,State,2,0
io.questdb.test.TestListener,State,0,0
io.questdb.griffin.engine.functions.cast.CastTimestampToDoubleFunctionFactory,State,1,7
io.questdb.cutlass.line.udp.LineUdpLexer,State,17,4
io.questdb.griffin.engine.functions.cast.CastTimestampToByteFunctionFactory,State,1,7
io.questdb.griffin.engine.join.AsOfJoinLightRecordCursorFactory,State,11,3
io.questdb.griffin.engine.functions.math.AtanDoubleFunctionFactory,State,4,8
io.questdb.griffin.engine.functions.groupby.FirstUuidGroupByFunction,State,6,22
io.questdb.griffin.engine.functions.cast.CastSymbolToCharFunctionFactory,State,1,7
io.questdb.griffin.SqlParser,State,32,1
io.questdb.griffin.engine.functions.math.AcosDoubleFunctionFactory,State,4,8
io.questdb.cairo.O3CopyJob,State,2,2
io.questdb.griffin.engine.functions.conditional.DoubleCaseFunction,State,2,1
io.questdb.griffin.engine.functions.math.AbsIntFunctionFactory,State,1,8
io.questdb.griffin.engine.functions.math.BitwiseAndIntFunctionFactory,State,2,9
io.questdb.griffin.engine.table.DataFrameRecordCursorImpl,State,25,37
io.questdb.cairo.O3PartitionJob,State,2,2
io.questdb.griffin.engine.table.LatestByValuesIndexedFilteredRecordCursor,State,22,10
io.questdb.griffin.CompiledQueryImpl,(Object)Adapter,84,228
io.questdb.test.cutlass.pgwire.PGQuerySuspendabilityTest,(Object)Adapter,0,0
io.questdb.griffin.engine.functions.groupby.MinIntGroupByFunction,(Object)Adapter,6,23
io.questdb.griffin.engine.table.SortedSymbolIndexRowCursorFactory,(Object)Adapter,23,11
io.questdb.std.LongLongHashSet,(Object)Adapter,20,14
io.questdb.griffin.engine.table.LatestByAllRecordCursor,(Object)Adapter,6,8
io.questdb.network.IODispatcherLinux,(Object)Adapter,12,2
io.questdb.std.LowerCaseCharSequenceObjHashMap,(Object)Adapter,3,36
io.questdb.std.datetime.microtime.MicrosecondClock,(Object)Adapter,0,26
io.questdb.std.IOURingFacade,(Object)Adapter,0,20
io.questdb.griffin.engine.functions.rnd.RndSymbolListFunctionFactory,(Object)Adapter,6,21
io.questdb.cutlass.text.CopyRequestTask,(Object)Adapter,10,12
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,(Object)Adapter,88,199
io.questdb.griffin.PurgingOperator,(Object)Adapter,28,10
io.questdb.cairo.vm.api.MemoryARW,(Object)Adapter,0,4
io.questdb.griffin.engine.functions.groupby.SumFloatGroupByFunction,(Object)Adapter,6,23
io.questdb.cairo.TableWriterMetadata,(Object)Adapter,8,15
io.questdb.griffin.engine.join.LongChain,(Object)Adapter,2,4
io.questdb.cairo.RebuildColumnBase,(Object)Adapter,50,45
io.questdb.cairo.wal.seq.SequencerMetadata,(Object)Adapter,8,17
io.questdb.cairo.RecoverVarIndex,(Object)Adapter,3,0
