Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
1,Factory Method,40,12,2,30,66,0,0,0,0
2,Factory Method,230,51,5,37,413,3,1,0,1
3,Factory Method,224,20,4,4,61,4,1,0,1
4,Factory Method,43,61,4,19,78,12,10,1,0
5,Prototype,220,153,14,52,253,13,2,5,4
6,Prototype,219,154,14,54,258,4,0,0,2
7,Prototype,219,163,14,60,262,9,4,1,2
8,Prototype,27,38,2,7,22,1,1,0,0
9,Prototype,36,41,2,11,32,6,3,2,1
10,Prototype,38,37,2,6,36,23,3,10,8
11,Prototype,36,34,2,6,30,1,0,1,0
12,Prototype,31,29,2,5,22,3,2,0,1
13,Prototype,28,38,2,6,24,1,1,0,0
14,Prototype,114,16,2,0,50,2,0,2,0
15,Prototype,22,34,2,6,29,22,2,10,8
16,Prototype,12,57,3,6,30,3,1,2,0
17,Prototype,30,62,4,14,74,5,3,2,0
18,Singleton,4,9,1,3,6,3,2,1,0
19,Singleton,21,24,1,3,19,2,0,1,1
20,Singleton,11,14,1,1,2,1,0,1,0
21,Singleton,6,20,1,5,3,16,1,11,4
22,Singleton,1,59,1,19,9,19,5,11,3
23,Singleton,2,3,1,2,9,0,0,0,0
24,Singleton,2,3,1,2,9,2,0,2,0
25,Singleton,8,4,1,2,9,0,0,0,0
26,Singleton,1,4,1,2,1,0,0,0,0
27,Singleton,2,3,1,2,9,5,0,4,1
28,Singleton,2,3,1,2,9,3,3,0,0
29,Singleton,5,3,1,2,9,4,0,3,1
31,(Object)Adapter,226,50,2,10,65,5,1,2,1
32,(Object)Adapter,53,8,2,0,12,4,1,2,1
33,(Object)Adapter,138,22,2,10,55,4,1,2,1
34,(Object)Adapter,22,159,2,53,72,41,6,12,23
35,(Object)Adapter,1,69,2,8,8,0,0,0,0
36,(Object)Adapter,3,92,2,13,9,1,1,0,0
37,(Object)Adapter,24,51,2,16,43,15,4,6,5
38,(Object)Adapter,57,83,2,22,76,19,4,4,8
39,(Object)Adapter,76,92,2,30,75,41,6,12,23
40,(Object)Adapter,38,37,2,6,35,23,3,10,8
41,(Object)Adapter,58,22,2,9,39,17,5,5,7
42,(Object)Adapter,131,42,2,14,51,8,3,3,2
43,(Object)Adapter,130,21,2,7,25,2,0,0,2
44,(Object)Adapter,130,23,2,7,26,2,0,0,2
45,(Object)Adapter,114,86,2,22,101,19,4,4,8
46,(Object)Adapter,113,96,2,30,103,41,6,12,23
47,(Object)Adapter,114,16,2,0,50,2,0,2,0
48,(Object)Adapter,35,51,2,26,48,15,4,6,5
49,(Object)Adapter,22,34,2,6,29,22,2,10,8
50,(Object)Adapter,9,24,2,6,21,4,3,1,0
51,(Object)Adapter,10,5,2,0,6,3,1,2,0
52,(Object)Adapter,9,20,2,5,18,8,5,3,0
53,(Object)Adapter,29,5,2,0,14,5,3,2,0
54,(Object)Adapter,12,16,2,8,32,8,2,3,2
55,(Object)Adapter,10,3,2,0,4,2,0,2,0
56,Composite,222,166,14,55,275,5,0,2,1
57,Composite,220,153,14,52,253,10,4,2,2
58,Composite,219,168,14,57,277,9,3,1,3
59,Composite,219,167,14,57,273,3,0,1,1
60,Composite,8,10,2,2,4,2,1,0,1
61,Decorator,130,17,2,8,30,1,0,0,1
62,Decorator,52,33,2,9,28,1,0,0,1
63,Decorator,219,154,14,54,257,4,0,0,2
64,Observer,6,19,2,14,27,4,0,1,3
65,Observer,4,13,2,8,26,8,2,3,2
66,State,228,47,2,15,50,8,3,2,2
67,State,226,40,2,12,47,9,4,1,2
68,State,226,38,2,13,45,4,1,0,2
69,State,226,39,2,11,55,8,1,3,3
70,State,226,40,2,10,49,6,1,1,3
71,State,226,32,2,12,45,3,0,1,1
72,State,226,26,2,9,42,5,0,1,3
73,State,226,25,2,8,42,4,0,0,3
74,State,226,50,2,9,49,7,1,2,3
75,State,227,51,2,8,51,13,1,7,4
76,State,226,41,2,10,49,3,0,1,1
